id,node_id,position
4406227,1834004777,0
4406227,1834004779,1
4406227,1834004796,2
4406227,1892201915,3
4406227,1366457569,4
4406227,2382046978,5
4406227,1366457563,6
4406227,2382072120,7
4406227,1366457534,8
4406227,1366457558,9
4434314,1834004786,0
4434314,2381963347,1
4434314,2381963352,2
4434314,2381963357,3
4434314,2381963365,4
4434314,2381963376,5
4476153,248631330,0
4476153,4946723039,1
4476153,4946723038,2
4476153,1669014549,3
4476153,248631399,4
4476153,1536606981,5
4476153,4830945403,6
4476153,21107257,7
4476153,2362619943,8
4508612,27607377,0
4508612,27609722,1
4508612,27609479,2
4508612,27609219,3
4508612,27607285,4
4508612,269415458,5
4508612,27608897,6
4508612,27607678,7
4508612,27607635,8
4508612,27610190,9
4508612,27608249,10
4508612,27609367,11
4508612,581990827,12
4508612,581990830,13
4508612,581990833,14
4508612,27611012,15
4508612,513655480,16
4508612,27611428,17
4508612,27608373,18
4508612,27608037,19
4508612,27608463,20
4508612,775698975,21
4508612,775698980,22
4508612,775698985,23
4508612,27610279,24
4508612,27607956,25
4508612,27607436,26
4508612,27607609,27
4508612,27607580,28
4508612,27609299,29
4508612,27610008,30
4508612,27611249,31
4508612,27610605,32
4508612,27607905,33
4508612,27611197,34
4508612,27608452,35
4508612,27609768,36
4508612,269417027,37
4508612,27609437,38
4508612,27610809,39
4508612,27611048,40
4508612,269417028,41
4508612,513655728,42
4508612,269417029,43
4508612,27609144,44
4508612,27611441,45
4508612,27609224,46
4508612,27609381,47
4508612,27611445,48
4508612,27607330,49
4508612,27607598,50
4508612,269417176,51
4508612,27610023,52
4508612,269417177,53
4508612,27610048,54
4508612,27609439,55
4508612,27608242,56
4508612,27611415,57
4508612,27608581,58
4508612,27610945,59
4508612,27609691,60
4508612,27609484,61
4508612,269417432,62
4508612,27610045,63
4508612,269417433,64
4508612,27610902,65
4508612,269417434,66
4508612,2514946402,67
4508612,513655717,68
4508612,2514946405,69
4508612,2514946407,70
4508612,27609707,71
4508612,27609798,72
4508612,27609161,73
4508612,775698215,74
4508612,27609757,75
4508612,27610776,76
4508612,27609578,77
4508612,27608426,78
4508612,27611159,79
4508612,27610752,80
4508612,27608432,81
4508612,27607988,82
4508612,27610159,83
4508612,27607386,84
4508612,269746595,85
4512609,1446247428,0
4512609,27610092,1
4512609,27607371,2
4512609,27610579,3
4512609,3805843814,4
4512609,27608919,5
4512609,3805843813,6
4512609,269479949,7
4512609,3805843812,8
4512609,269479950,9
4512609,277447220,10
4512609,269479951,11
4512609,3805843811,12
4512609,269479952,13
4512609,3673470843,14
4512609,3673470844,15
4512609,3673470845,16
4512609,269480018,17
4512609,3673470846,18
4512609,27608151,19
4512609,269479954,20
4512609,27609073,21
4512609,583523046,22
4512609,2474577295,23
4512609,27610513,24
4512609,27609737,25
4512609,277162338,26
4512609,27608169,27
4512609,544480552,28
4512609,4169594785,29
4512609,27607599,30
4512609,27610414,31
4512609,3805843806,32
4512609,3805843805,33
4512609,3805843804,34
4512609,3805843810,35
4512609,3805843809,36
4512609,3805843808,37
4512609,3805843807,38
4512609,3805843803,39
4512609,3805843802,40
4512609,1971571635,41
4512609,628975012,42
4512609,3805843801,43
4512609,628974970,44
4512609,3805843800,45
4512609,3805843799,46
4512609,3805843798,47
4512609,27610658,48
4512609,27607349,49
4512609,27609552,50
4512609,27610255,51
4512609,27610130,52
4512609,3805843793,53
4512609,27608666,54
4512609,3805843792,55
4512609,3805843791,56
4512609,3805843790,57
4512609,3805843794,58
4512609,3805843797,59
4512609,3805843796,60
4512609,3805843795,61
4512609,27607451,62
4512609,27610732,63
4512609,3805843789,64
4512609,3805843788,65
4512609,27610218,66
4512609,27609431,67
4512609,27610264,68
4512609,27609963,69
4512609,3805843787,70
4512609,27610374,71
4512609,27608402,72
4512609,27608409,73
4512609,27607954,74
4512609,27607985,75
4512609,27608819,76
4512609,27609199,77
4512609,27607377,78
4512863,27608540,0
4512863,27610631,1
4512863,27610059,2
4512863,4365477446,3
4512863,4365477445,4
4512863,27609751,5
4512863,4365477441,6
4512863,4365477442,7
4512863,4365477419,8
4512863,4365477420,9
4512863,4365477459,10
4512863,27608558,11
4512863,4365477421,12
4512863,4365477422,13
4512863,4365477423,14
4512863,4365477428,15
4512863,4365477427,16
4512863,4365477426,17
4512863,4365477425,18
4512863,4365477424,19
4512863,27608920,20
4512863,4365477404,21
4512863,4365477405,22
4512863,4365477410,23
4512863,4365477455,24
4512863,4365477456,25
4512863,4365477458,26
4512863,27610837,27
4512863,27609776,28
4512863,4365477403,29
4512863,4365477402,30
4512863,27607958,31
4512863,27610447,32
4512863,4365477408,33
4512863,27607457,34
4512863,27608538,35
4512863,27610523,36
4512863,27607537,37
4512863,27608183,38
4512863,4365477474,39
4512863,4365477475,40
4512863,4365477477,41
4512863,27609543,42
4512863,4365477476,43
4512863,27609231,44
4512863,27609017,45
4512863,27609867,46
4512863,27610998,47
4512863,27608677,48
4512863,27610390,49
4512863,27609272,50
4512863,27608042,51
4512863,4035773900,52
4512863,4365276445,53
4512863,4365276444,54
4512863,4035773902,55
4512863,27610738,56
4512863,4365276443,57
4512863,4365276442,58
4512863,4365276441,59
4512863,27608975,60
4512863,4365276440,61
4512863,4365276439,62
4512863,4365276438,63
4512863,4365276437,64
4512863,4365276436,65
4512863,4365276435,66
4512863,4365276434,67
4512863,27608768,68
4512863,27609316,69
4512863,27610540,70
4512863,27607647,71
4512863,27608189,72
4512863,27610661,73
4512863,27610323,74
4512863,2456974780,75
4512863,2456974781,76
4512863,2456974779,77
4512863,2456974778,78
4512863,2456974777,79
4512863,2456974775,80
4512863,2456974776,81
4512863,27607561,82
4512863,2456974774,83
4512863,2456974773,84
4512863,2456974772,85
4512863,27607778,86
4512863,27608584,87
4512863,2456974771,88
4512863,27609495,89
4512863,2456974770,90
4512863,2456974769,91
4512863,27610563,92
4512863,27610219,93
4512863,2456974768,94
4512863,2456974767,95
4512863,2456974765,96
4512863,2456974766,97
4512863,2456974764,98
4512863,2456974763,99
4512863,4369530356,100
4512863,4369530360,101
4844975,31203348,0
4844975,1485005023,1
4844975,248631162,2
4844975,248631161,3
4844975,248631160,4
4844975,248631121,5
4844975,248631129,6
4844975,248631128,7
4844975,4561555757,8
4844975,248631126,9
4844975,248631125,10
4844975,31203343,11
4844975,248631033,12
4844975,2362619935,13
4844979,31203407,0
4844979,513753156,1
4844979,31203408,2
4844979,513619608,3
4844979,513619613,4
4844979,31203409,5
4844979,513752553,6
4844979,105408991,7
4844982,269733208,0
4844982,561145365,1
4844982,269733206,2
4844982,269733205,3
4844982,561145383,4
4844982,2382977753,5
4885859,31681112,0
4885859,31681114,1
